Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Muelle Loney St 2 (Rev),Proper - 18,Proper - 12,1950.41,Active,3585.28,3782.46,11830.54,No
Muelle Loney St 3,Proper - 18,Proper - 19,0.0,Inactive,3585.28,3607.98,1362.08,No
Blumentritt 2 (Rev),Proper - 19,Proper - 17,1022.25,Active,3585.28,3616.19,1854.54,No
Muelle Loney St 3 (Rev),Proper - 19,Proper - 18,0.0,Inactive,3585.28,3607.98,1362.08,No
Muelle Loney St 4,Proper - 19,Proper - 21,430.79,Active,3585.28,3607.35,1324.05,No
Dela Rama St 2 (Rev),Proper - 20,Proper - 17,661.9,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 662 vol,N/A
Muelle Loney St 4 (Rev),Proper - 21,Proper - 19,360.35,Active,3585.28,3608.59,1398.36,No
Fort San Pedro Dr,Proper - 21,Proper - 22,301.55,Active,3585.28,3614.88,1775.68,No
General Hughes St 2 (Rev),Proper - 22,Proper - 15,963.45,Active,3585.28,3676.57,5477.56,No
Fort San Pedro Dr (Rev),Proper - 22,Proper - 21,231.11,Active,3585.28,3614.16,1733.04,No
Old Iloilo - Capiz Rd,mandurriao - 1,Proper - 1,1506.68,Active,3585.28,3713.98,7722.27,No
Mandurriao - Jaro Rd,mandurriao - 1,mandurriao - 2,943.32,Active,3585.28,3903.83,19112.82,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),mandurriao - 1,jaro - 17,319.44,Active,3585.28,3637.98,3161.98,No
El 98 St (Rev),mandurriao - 1,jaro - 7,1064.75,Active,3585.28,3683.46,5890.74,No
Mandurriao - Jaro Rd (Rev),mandurriao - 2,mandurriao - 1,1055.49,Active,3585.28,3932.79,20850.28,No
Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,mandurriao - 2,mandurriao - 3,1867.62,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1409 vol,N/A
Mandurriao - Sn Miguel Rd,mandurriao - 3,mandurriao - 12,1327.52,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1328 vol,N/A
Mandurriao - Sn Miguel Rd - R Mapa St,mandurriao - 3,mandurriao - 4,1867.62,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1409 vol,N/A
Pakiad Rd,mandurriao - 4,mandurriao - 5,331.88,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 332 vol,N/A
R Mapa St - Mandurriao - Jaro Rd,mandurriao - 4,mandurriao - 2,1979.79,Active,3585.28,4658.06,64366.59,No
R Mapa St,mandurriao - 4,mandurriao - 6,714.35,Active,3585.28,3642.47,3431.21,No
Pakiad Rd (Rev),mandurriao - 5,mandurriao - 4,331.88,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 332 vol,N/A
New Carpenter Bridge (Rev),mandurriao - 6,Molo - 3,1585.31,Active,3585.28,3709.87,7475.62,No
R Mapa St (Rev),mandurriao - 6,mandurriao - 4,826.52,Active,3585.28,3660.25,4498.2,No
R Mapa St - Extension,mandurriao - 6,mandurriao - 7,785.27,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 785 vol,N/A
R Mapa St - Extension (Rev),mandurriao - 7,mandurriao - 6,785.27,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 785 vol,N/A
Iloilo Circumferential Rd 1 (Rev),mandurriao - 8,villa - 2,634.2,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 634 vol,N/A
Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,mandurriao - 9,mandurriao - 12,331.88,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 332 vol,N/A
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),mandurriao - 10,mandurriao - 12,331.88,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 332 vol,N/A
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),mandurriao - 11,mandurriao - 12,331.88,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 332 vol,N/A
Mandurriao - Sn Miguel Rd (Rev),mandurriao - 12,mandurriao - 3,1327.52,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1328 vol,N/A
Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1 (Rev),mandurriao - 12,mandurriao - 9,331.88,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 332 vol,N/A
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1) (Rev),mandurriao - 12,mandurriao - 10,331.88,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 332 vol,N/A
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2) (Rev),mandurriao - 12,mandurriao - 11,331.88,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 332 vol,N/A
E Lopez St,jaro - 1,jaro - 4,657.63,Active,3585.28,3617.3,1920.95,No
Luna St (Rev),jaro - 1,lapaz - 3,446.74,Active,3585.28,3617.17,1913.44,No
Commission Civil St,jaro - 2,jaro - 5,371.47,Active,3585.28,3618.85,2014.32,No
Burgos St (Rev),jaro - 2,lapaz - 7,516.27,Active,3585.28,3619.29,2040.42,No
Jereos St,jaro - 3,jaro - 25,125.92,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 126 vol,N/A
Jereos St (Rev),jaro - 3,lapaz - 6,271.52,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 272 vol,N/A
E Lopez St (Rev),jaro - 4,jaro - 1,475.2,Active,3585.28,3617.65,1941.98,No
E Lopez St - Plaza Rizal St - Commission Civil St,jaro - 4,jaro - 5,1911.58,Active,3585.28,3714.09,7728.3,No
Commission Civil St (Rev),jaro - 5,jaro - 2,546.75,Active,3585.28,3622.76,2248.64,No
Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,jaro - 5,jaro - 6,1736.3,Active,3585.28,3745.09,9588.4,No
Plaza Rizal St - Balabago Rd,jaro - 6,jaro - 9,1448.97,Active,3585.28,3828.68,14604.22,No
Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,jaro - 6,jaro - 7,1822.55,Active,3585.28,3746.75,9688.39,No
El 98 St - Plaza Rizal St - E Lopez St,jaro - 7,jaro - 4,1729.15,Active,3585.28,3732.85,8854.34,No
El 98 St,jaro - 7,mandurriao - 1,1158.15,Active,3585.28,3682.17,5813.16,No
Lopez Jaena St - Plaza Rizal St,jaro - 8,jaro - 6,1535.22,Active,3585.28,3715.97,7841.33,No
Lopez Jaena St - Old Lopez Jaena St,jaro - 8,jaro - 18,184.24,Active,3585.28,3612.15,1612.13,No
Iloilo Capiz Rd - Balabago Rd (Rev),jaro - 9,jaro - 14,2054.55,Active,3585.28,3816.01,13844.03,No
Balabago Rd,jaro - 9,jaro - 10,840.46,Active,3585.28,3689.92,6278.57,No
Iloilo-Capiz Rd - Lopez Jaena St,jaro - 9,jaro - 8,1509.3,Active,3585.28,3821.55,14176.25,No
Buhang Flyover - Balabago Rd (Rev),jaro - 10,jaro - 12,1223.51,Active,3585.28,3889.33,18243.03,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,jaro - 10,jaro - 11,1777.91,Active,3585.28,3925.79,20430.35,No
Balabago Rd (Rev),jaro - 10,jaro - 9,902.86,Active,3585.28,3699.3,6841.22,No
Monfort Blvd - Leganes,jaro - 11,jaro - 20,384.27,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 384 vol,N/A
Lapaz - Monfort Blvd (Rev),jaro - 11,jaro - 19,1143.93,Active,3585.28,3742.13,9410.87,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd (Rev),jaro - 11,jaro - 10,1838.25,Active,3585.28,4292.22,42416.34,No
Iloilo-Capiz Rd - Buhang Flyover (Rev),jaro - 12,jaro - 14,788.43,Active,3585.28,3658.71,4405.55,No
Buhang Flyover - Balabago Rd,jaro - 12,jaro - 10,1225.57,Active,3585.28,3836.34,15063.46,No
Buhang Flyover,jaro - 12,jaro - 13,737.11,Active,3585.28,3626.64,2481.34,No
Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),jaro - 13,jaro - 15,1585.54,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1586 vol,N/A
Buhang Flyover - Iloilo-Capiz Rd,jaro - 13,jaro - 14,1448.94,Active,3585.28,3718.02,7964.21,No
Buhang Flyover (Rev),jaro - 13,jaro - 12,737.24,Active,3585.28,3626.72,2486.42,No
Buhang Flyover - Iloilo-Capiz Rd (Rev),jaro - 14,jaro - 13,1449.07,Active,3585.28,3713.81,7711.71,No
Iloilo-Capiz Rd - Buhang Flyover,jaro - 14,jaro - 12,790.36,Active,3585.28,3655.24,4197.35,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,jaro - 14,jaro - 21,384.27,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 384 vol,N/A
Iloilo Capiz Rd - Balabago Rd,jaro - 14,jaro - 9,2052.48,Active,3585.28,3827.53,14534.95,No
Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 22,384.27,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 384 vol,N/A
Iloilo Radial By-Pass Rd 4 - Buhang Flyover,jaro - 15,jaro - 13,1585.54,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1586 vol,N/A
Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 23,699.37,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 699 vol,N/A
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),jaro - 16,jaro - 17,251.84,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 252 vol,N/A
Old Iloilo-Capiz Rd - Pavia,jaro - 16,jaro - 24,125.92,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 126 vol,N/A
Old Iloilo-Capiz Rd - Old Lopez Jaena St,jaro - 17,mandurriao - 1,293.53,Active,3585.28,3615.82,1832.11,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St,jaro - 17,jaro - 16,251.84,Active,3585.28,3608.97,1421.34,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),jaro - 17,jaro - 18,218.04,Active,3585.28,3616.49,1872.71,No
