Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Bonifacio Drive,Proper - 7,lapaz - 10,Two-Way,2237.15,Active,3585.28,3660.63,4520.82,No
Gen Luna St 3,Proper - 8,Proper - 9,Two-Way,1346.79,Active,3585.28,3685.31,6001.6,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,Two-Way,1359.96,Active,3585.28,3688.85,6214.42,No
Muelle Loney St 1,Proper - 9,Proper - 12,Two-Way,1338.33,Active,3585.28,3689.57,6257.14,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,Two-Way,1287.97,Active,3585.28,3744.27,9539.53,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,Two-Way,2242.63,Active,3585.28,3669.59,5058.83,No
Arroyo St (Rev),Proper - 11,Proper - 12,Two-Way,791.96,Active,3585.28,3629.55,2656.39,No
JM Basa St 1,Proper - 11,Proper - 13,Two-Way,2230.5,Active,3585.28,3800.0,12883.24,No
Muelle Loney St 2,Proper - 12,Proper - 18,Two-Way,2012.15,Active,3585.28,3904.36,19144.95,No
JM Basa St 2,Proper - 13,Proper - 14,Two-Way,1534.47,Active,3585.28,3763.8,10711.04,No
Dela Rama St 1,Proper - 13,Proper - 17,Two-Way,1066.24,Active,3585.28,3671.44,5169.84,No
General Hughes St 1,Proper - 14,Proper - 15,Two-Way,2216.81,Active,3585.28,4112.52,31634.21,No
Duran St,Proper - 15,Proper - 16,Two-Way,661.9,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1324 vol,N/A
General Hughes St 2,Proper - 15,Proper - 22,Two-Way,893.01,Active,3585.28,3739.93,9279.07,No
Dela Rama St 2,Proper - 17,Proper - 20,Two-Way,661.9,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 1324 vol,N/A
Blumentritt 1,Proper - 17,Proper - 18,Two-Way,1400.1,Active,3585.28,3631.92,2798.12,No
Blumentritt 2,Proper - 17,Proper - 19,Two-Way,1092.69,Active,3585.28,3690.56,6316.49,No
Muelle Loney St 3,Proper - 18,Proper - 19,Two-Way,0.0,Inactive,3585.28,3607.98,1362.08,No
Muelle Loney St 4,Proper - 19,Proper - 21,Two-Way,430.79,Active,3585.28,3605.85,1234.12,No
Fort San Pedro Dr,Proper - 21,Proper - 22,Two-Way,301.55,Active,3585.28,3620.79,2130.76,No
